companyId,week_end_sunday,conversationType,event_count,billable_count
95,2025-10-05,UTILITY,3457,3131
95,2025-10-12,MARKETING,1948,1948
95,2025-10-12,UTILITY,3068,2802
95,2025-10-19,MARKETING,2045,2045
95,2025-10-19,UTILITY,3413,3029
95,2025-10-26,MARKETING,2395,2395
95,2025-10-26,UTILITY,4477,4019
95,2025-11-02,MARKETING,2839,2839
95,2025-11-02,UTILITY,4754,4236
95,2025-11-09,MARKETING,3968,3968
95,2025-11-09,UTILITY,3091,2716
95,2025-11-16,MARKETING,3898,3898
95,2025-11-16,UTILITY,3587,3201
95,2025-11-23,MARKETING,4747,4747
95,2025-11-23,UTILITY,3614,3220
95,2025-11-30,MARKETING,6483,6483
95,2025-11-30,UTILITY,3280,2896
95,2025-12-07,MARKETING,4890,4816
95,2025-12-07,UTILITY,3230,2869
95,2025-12-14,MARKETING,5449,5329
95,2025-12-14,UTILITY,3558,3110
95,2025-12-21,MARKETING,5305,5176
95,2025-12-21,UTILITY,3793,3310
95,2025-12-28,MARKETING,3807,3682
95,2025-12-28,UTILITY,3370,2938
95,2026-01-04,MARKETING,4583,2962
95,2026-01-04,UTILITY,2878,2491
95,2026-01-11,MARKETING,7366,3591
95,2026-01-11,UTILITY,2797,2429
95,2026-01-18,MARKETING,6036,2991
95,2026-01-18,UTILITY,1495,1321
95,2026-01-25,MARKETING,6964,3455
95,2026-01-25,UTILITY,1828,1608
95,2026-02-01,MARKETING,6988,3492
95,2026-02-01,UTILITY,4841,4401
95,2026-02-08,MARKETING,5724,2862
95,2026-02-08,UTILITY,3978,3458
95,2026-02-15,MARKETING,5416,2710
95,2026-02-15,UTILITY,3791,3398
95,2026-02-22,MARKETING,5968,2985
95,2026-02-22,UTILITY,3369,2948
95,2026-03-01,MARKETING,5064,2790
95,2026-03-01,UTILITY,2983,2599
95,2026-03-08,MARKETING,3863,2182
95,2026-03-08,UTILITY,1748,1504
110,2025-07-06,MARKETING,11,11
110,2025-07-13,MARKETING,92,92
111,2025-07-06,MARKETING,308,308
111,2025-07-13,MARKETING,745,745
111,2025-07-20,MARKETING,1705,1705
111,2025-07-27,MARKETING,451,451
111,2025-08-03,MARKETING,931,931
111,2025-08-10,MARKETING,2,2
111,2025-08-17,MARKETING,1366,1366
111,2025-08-24,MARKETING,4151,4151
111,2025-08-31,MARKETING,6,6
111,2025-09-07,MARKETING,127,127
111,2025-09-14,MARKETING,473,473
111,2025-09-21,MARKETING,735,735
111,2025-09-28,MARKETING,1106,1106
111,2025-10-05,MARKETING,18,18
111,2025-10-12,MARKETING,19,19
111,2025-10-19,MARKETING,661,661
111,2025-10-26,MARKETING,1620,1620
111,2025-11-02,MARKETING,1168,1168
111,2025-11-09,MARKETING,39,39
111,2025-11-16,MARKETING,358,358
111,2025-11-23,MARKETING,22,22
111,2025-11-30,MARKETING,2565,2565
111,2025-12-07,MARKETING,195,185
111,2025-12-14,MARKETING,19,1
111,2025-12-21,MARKETING,324,315
111,2025-12-28,MARKETING,2530,2517
111,2026-01-04,MARKETING,58,6
111,2026-01-11,MARKETING,64,2
111,2026-01-18,MARKETING,40,0
111,2026-01-25,MARKETING,4,1
111,2026-02-01,MARKETING,2461,2433
111,2026-02-15,MARKETING,1768,1706
111,2026-02-22,MARKETING,2,2
111,2026-03-08,MARKETING,992,956
123,2025-07-06,MARKETING,120,120
123,2025-07-06,UTILITY,1708,1617
123,2025-07-13,MARKETING,5460,5460
123,2025-07-13,UTILITY,7585,7460
123,2025-07-20,MARKETING,16388,16388
123,2025-07-20,UTILITY,5362,5325
123,2025-07-27,MARKETING,6331,6331
123,2025-07-27,UTILITY,7462,7289
123,2025-08-03,MARKETING,6931,6931
123,2025-08-03,UTILITY,9119,8884
123,2025-08-10,MARKETING,869,869
123,2025-08-10,UTILITY,10816,10674
123,2025-08-17,MARKETING,9348,9348
123,2025-08-17,UTILITY,1867,1770
123,2025-08-24,MARKETING,12135,12135
123,2025-08-24,UTILITY,2012,1962
123,2025-08-31,MARKETING,21042,21042
123,2025-08-31,UTILITY,97,73
123,2025-09-07,MARKETING,16171,16171
123,2025-09-07,UTILITY,4500,4367
123,2025-09-14,MARKETING,15831,15831
123,2025-09-14,UTILITY,2173,2085
123,2025-09-21,MARKETING,8798,8798
123,2025-09-21,UTILITY,5535,5494
123,2025-09-28,MARKETING,603,603
123,2025-09-28,UTILITY,9994,9835
123,2025-10-05,MARKETING,7708,7708
123,2025-10-05,UTILITY,585,542
123,2025-10-12,MARKETING,6108,6108
123,2025-10-12,UTILITY,3542,3388
123,2025-10-19,MARKETING,16437,16437
123,2025-10-19,UTILITY,709,630
123,2025-10-26,MARKETING,8158,8158
123,2025-10-26,UTILITY,1297,1248
123,2025-11-02,MARKETING,14863,14863
123,2025-11-02,UTILITY,1871,1680
123,2025-11-09,MARKETING,6839,6839
123,2025-11-09,UTILITY,850,770
123,2025-11-16,MARKETING,16820,16820
123,2025-11-16,UTILITY,1836,1769
123,2025-11-23,MARKETING,11952,11952
123,2025-11-23,UTILITY,2633,2535
123,2025-11-30,MARKETING,18320,18320
123,2025-11-30,UTILITY,4971,4868
123,2025-12-07,MARKETING,14479,14341
123,2025-12-07,UTILITY,1685,1611
123,2025-12-14,MARKETING,24820,24242
123,2025-12-14,UTILITY,1762,1636
123,2025-12-21,MARKETING,15231,14695
123,2025-12-21,UTILITY,1750,1669
123,2025-12-28,MARKETING,12234,11619
123,2025-12-28,UTILITY,2327,2190
123,2026-01-04,MARKETING,10031,8342
123,2026-01-04,UTILITY,1417,1307
123,2026-01-11,MARKETING,21520,10396
123,2026-01-11,UTILITY,1470,1432
123,2026-01-18,MARKETING,25784,12698
123,2026-01-18,UTILITY,1732,1694
123,2026-01-25,MARKETING,11228,5538
123,2026-01-25,MARKETING_LITE,6619,6619
123,2026-01-25,UTILITY,2397,2228
123,2026-02-01,MARKETING,72,19
123,2026-02-01,MARKETING_LITE,14237,14237
123,2026-02-01,UTILITY,1926,1672
123,2026-02-08,MARKETING,40,23
